Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-18 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2009-12-21 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2009-12-22 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2009-12-23 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2009-12-24 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2009-12-28 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2009-12-29 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2009-12-30 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2009-12-31 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2010-01-04 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2010-01-05 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2010-01-06 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2010-01-07 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2010-01-08 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2010-01-11 00:00:00-05:00,1.0830585956573486,1.0830585956573486,1.0830585956573486,1.0830585956573486,0,0.0,0.0
2010-01-12 00:00:00-05:00,15.916251182556152,15.916251182556152,15.916251182556152,15.916251182556152,258,0.0,0.0
2010-01-13 00:00:00-05:00,1.883580207824707,1.883580207824707,1.883580207824707,1.883580207824707,83,0.0,0.0
2010-01-14 00:00:00-05:00,1.883580207824707,1.883580207824707,1.883580207824707,1.883580207824707,0,0.0,0.0
2010-01-15 00:00:00-05:00,1.7776288986206055,1.7776288986206055,1.7776288986206055,1.7776288986206055,83,0.0,0.0
2010-01-19 00:00:00-05:00,1.7776288986206055,1.7776288986206055,1.7776288986206055,1.7776288986206055,0,0.0,0.0
2010-01-20 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,125,0.0,0.0
2010-01-21 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-01-22 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-01-25 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-01-26 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-01-27 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-01-28 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-01-29 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-02-01 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-02-02 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-02-03 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-02-04 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-02-05 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-02-08 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-02-09 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-02-10 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-02-11 00:00:00-05:00,1.765856146812439,1.765856146812439,1.765856146812439,1.765856146812439,0,0.0,0.0
2010-02-12 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,83,0.0,0.0
2010-02-16 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-02-17 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-02-18 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-02-19 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-02-22 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-02-23 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-02-24 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-02-25 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-02-26 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-01 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-02 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-03 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-04 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-05 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-08 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-09 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-10 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-11 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-12 00:00:00-05:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-15 00:00:00-04:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-16 00:00:00-04:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-17 00:00:00-04:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-18 00:00:00-04:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-19 00:00:00-04:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-22 00:00:00-04:00,1.4126852750778198,1.4126852750778198,1.4126852750778198,1.4126852750778198,0,0.0,0.0
2010-03-23 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,42,0.0,0.0
2010-03-24 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-03-25 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-03-26 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-03-29 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-03-30 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-03-31 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-04-01 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-04-05 00:00:00-04:00,0.12949614226818085,0.12949614226818085,0.12949614226818085,0.12949614226818085,0,0.0,0.0
2010-04-06 00:00:00-04:00,0.12949614226818085,0.12949614226818085,0.12949614226818085,0.12949614226818085,0,0.0,0.0
2010-04-07 00:00:00-04:00,0.12949614226818085,0.12949614226818085,0.12949614226818085,0.12949614226818085,0,0.0,0.0
2010-04-08 00:00:00-04:00,0.12949614226818085,0.12949614226818085,0.12949614226818085,0.12949614226818085,0,0.0,0.0
2010-04-09 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-04-12 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-04-13 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-04-14 00:00:00-04:00,1.3302783966064453,1.3302783966064453,1.3302783966064453,1.3302783966064453,0,0.0,0.0
2010-04-15 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,2083,0.0,0.0
2010-04-16 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-04-19 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-04-20 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-04-21 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-04-22 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-04-23 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-04-26 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-04-27 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-04-28 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-04-29 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-04-30 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-03 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-04 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-05 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-06 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-07 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-10 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-11 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-12 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-13 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-14 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-17 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-18 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-19 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-20 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-21 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-24 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-25 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-26 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-27 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-05-28 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-06-01 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-06-02 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
2010-06-03 00:00:00-04:00,2.4721994400024414,2.4721994400024414,2.4721994400024414,2.4721994400024414,0,0.0,0.0
